example_id                                                 | status | run_time        |
---------------------------------------------------------- | ------ | --------------- |
./spec/models/articles_spec.rb[1:1:1]                      | passed | 0.97169 seconds |
./spec/models/user_spec.rb[1:1:1]                          | passed | 0.24282 seconds |
./spec/models/user_spec.rb[1:2:1]                          | passed | 0.00292 seconds |
./spec/models/user_spec.rb[1:3:1]                          | passed | 0.24307 seconds |
./spec/models/user_spec.rb[1:4:1]                          | passed | 0.00346 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:1:1:1]   | passed | 0.25792 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:1:2:1]   | passed | 0.0091 seconds  |
./spec/requests/api/v1/articles_request_spec.rb[1:2:1:1]   | passed | 0.27162 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:3:1:1]   | passed | 0.26529 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:3:2:1]   | passed | 0.50297 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:4:1:1]   | passed | 0.27664 seconds |
./spec/requests/api/v1/articles_request_spec.rb[1:4:2:1]   | passed | 0.50388 seconds |
./spec/requests/api/v1/auth/registrations_spec.rb[1:1:1:1] | failed | 0.26396 seconds |
./spec/requests/api/v1/auth/registrations_spec.rb[1:1:1:2] | passed | 0.49925 seconds |
./spec/requests/api/v1/auth/registrations_spec.rb[1:1:2:1] | passed | 0.25722 seconds |
./spec/requests/api/v1/auth/registrations_spec.rb[1:1:3:1] | passed | 0.25369 seconds |
./spec/requests/api/v1/auth/registrations_spec.rb[1:1:4:1] | passed | 0.01468 seconds |
